instrument,average_theo
E1AK2 C3660,765.8512
E1AK2 C3670,755.8814
E1AK2 C3680,745.9138
E1AK2 C3690,735.9484
E1AK2 C3700,725.9846
E1AK2 C3710,716.0229
E1AK2 C3720,706.0626
E1AK2 C3730,696.1040
E1AK2 C3735,691.1255
E1AK2 C3740,686.1470
E1AK2 C3745,681.1689
E1AK2 C3750,676.1914
E1AK2 C3755,671.2143
E1AK2 C3760,666.2375
E1AK2 C3765,661.2613
E1AK2 C3770,656.2857
E1AK2 C3775,651.3117
E1AK2 C3780,646.3381
E1AK2 C3785,641.3648
E1AK2 C3790,636.3920
E1AK2 C3795,631.4198
E1AK2 C3800,626.1324
E1AK2 C3805,621.1573
E1AK2 C3810,616.1828
E1AK2 C3815,611.2087
E1AK2 C3820,606.2353
E1AK2 C3825,601.2626
E1AK2 C3830,596.2906
E1AK2 C3835,591.3195
E1AK2 C3840,586.3491
E1AK2 C3845,581.3797
E1AK2 C3850,576.3750
E1AK2 C3855,571.4063
E1AK2 C3860,566.4387
E1AK2 C3865,561.4719
E1AK2 C3870,556.5060
E1AK2 C3875,551.5411
E1AK2 C3880,546.5773
E1AK2 C3885,541.6147
E1AK2 C3890,536.6530
E1AK2 C3895,531.6927
E1AK2 C3900,526.7330
E1AK2 C3905,521.7751
E1AK2 C3910,516.8186
E1AK2 C3915,511.8634
E1AK2 C3920,506.9097
E1AK2 C3925,501.9578
E1AK2 C3930,497.0074
E1AK2 C3935,492.0591
E1AK2 C3940,487.1121
E1AK2 C3945,482.1678
E1AK2 C3950,477.2254
E1AK2 C3955,472.2854
E1AK2 C3960,467.3475
E1AK2 C3965,462.4121
E1AK2 C3970,457.4790
E1AK2 C3975,452.5493
E1AK2 C3980,447.6224
E1AK2 C3985,442.6988
E1AK2 C3990,437.7802
E1AK2 C3995,432.8645
E1AK2 C4000,427.9525
E1AK2 C4005,423.0443
E1AK2 C4010,418.1401
E1AK2 C4015,413.2400
E1AK2 C4020,408.3442
E1AK2 C4025,403.4532
E1AK2 C4030,398.5669
E1AK2 C4035,393.6855
E1AK2 C4040,388.8097
E1AK2 C4045,383.9393
E1AK2 C4050,379.0748
E1AK2 C4055,374.2164
E1AK2 C4060,369.3645
E1AK2 C4065,364.5195
E1AK2 C4070,359.6819
E1AK2 C4075,354.8517
E1AK2 C4080,350.0295
E1AK2 C4085,345.2160
E1AK2 C4090,340.4108
E1AK2 C4095,335.6166
E1AK2 C4100,330.8298
E1AK2 C4105,326.0526
E1AK2 C4110,321.2844
E1AK2 C4115,316.5193
E1AK2 C4120,311.7653
E1AK2 C4125,307.0222
E1AK2 C4130,302.2908
E1AK2 C4135,297.5715
E1AK2 C4140,292.8648
E1AK2 C4145,288.1707
E1AK2 C4150,283.4897
E1AK2 C4155,278.8224
E1AK2 C4160,274.1683
E1AK2 C4165,269.5294
E1AK2 C4170,264.9057
E1AK2 C4175,260.2946
E1AK2 C4180,255.7021
E1AK2 C4185,251.1253
E1AK2 C4190,246.5652
E1AK2 C4195,242.0225
E1AK2 C4200,237.4968
E1AK2 C4205,232.9892
E1AK2 C4210,228.5008
E1AK2 C4215,224.0287
E1AK2 C4220,219.5784
E1AK2 C4225,215.1483
E1AK2 C4230,210.7386
E1AK2 C4235,206.3504
E1AK2 C4240,201.9852
E1AK2 C4245,197.6422
E1AK2 C4250,193.3226
E1AK2 C4255,189.0269
E1AK2 C4260,184.7567
E1AK2 C4265,180.5117
E1AK2 C4270,176.2915
E1AK2 C4275,172.0992
E1AK2 C4280,167.9369
E1AK2 C4285,163.8029
E1AK2 C4290,159.6977
E1AK2 C4295,155.6219
E1AK2 C4300,151.5711
E1AK2 C4305,147.5529
E1AK2 C4310,143.5682
E1AK2 C4315,139.6181
E1AK2 C4320,135.7035
E1AK2 C4325,131.8246
E1AK2 C4330,127.9834
E1AK2 C4335,124.1822
E1AK2 C4340,120.4170
E1AK2 C4345,116.6912
E1AK2 C4350,113.0057
E1AK2 C4355,109.3617
E1AK2 C4360,105.7597
E1AK2 C4365,102.2046
E1AK2 C4370,98.7221
E1AK2 C4375,95.2763
E1AK2 C4380,91.8705
E1AK2 C4385,88.5056
E1AK2 C4390,85.1841
E1AK2 C4395,81.9062
E1AK2 C4400,78.6734
E1AK2 C4405,75.4874
E1AK2 C4410,72.3495
E1AK2 C4415,69.2618
E1AK2 C4420,66.2261
E1AK2 C4425,63.2494
E1AK2 C4430,60.3397
E1AK2 C4435,57.4931
E1AK2 C4440,54.7109
E1AK2 C4445,51.9959
E1AK2 C4450,49.3480
E1AK2 C4455,46.7706
E1AK2 C4460,44.2641
E1AK2 C4465,41.8301
E1AK2 C4470,39.4703
E1AK2 C4475,37.1875
E1AK2 C4480,34.9775
E1AK2 C4485,32.8543
E1AK2 C4490,30.8101
E1AK2 C4495,28.8444
E1AK2 C4500,26.9583
