INSTRUMENT,REF_THEO,REF_UNDERLYING_PRICE,DELTA,GAMMA
E1AK2 C3660,735.2547189,4394.25,0.9950087,0
E1AK2 C3670,725.2907636,4394.25,0.9948022,0.0000003
E1AK2 C3680,715.3286843,4394.25,0.9945827,0.0000012
E1AK2 C3690,705.3690675,4394.25,0.9943475,0.0000022
E1AK2 C3700,695.4116532,4394.25,0.9940968,0.0000032
E1AK2 C3710,685.4563741,4394.25,0.9938304,0.0000044
E1AK2 C3720,675.5030402,4394.25,0.9935483,0.0000056
E1AK2 C3730,665.5516886,4394.25,0.9932497,0.000007
E1AK2 C3735,660.5768185,4394.25,0.9930937,0.0000078
E1AK2 C3740,655.6020833,4394.25,0.9929348,0.0000086
E1AK2 C3745,650.6279734,4394.25,0.9927709,0.0000094
E1AK2 C3750,645.6544828,4394.25,0.9926019,0.0000102
E1AK2 C3755,640.6814318,4394.25,0.9924285,0.0000111
E1AK2 C3760,635.7088295,4394.25,0.9922505,0.000012
E1AK2 C3765,630.7369154,4394.25,0.9920669,0.000013
E1AK2 C3770,625.7653595,4394.25,0.9918787,0.0000142
E1AK2 C3775,620.7943042,4394.25,0.9916833,0.0000164
E1AK2 C3780,615.8239036,4394.25,0.991479,0.0000186
E1AK2 C3785,610.8538189,4394.25,0.9912668,0.0000209
E1AK2 C3790,605.8845243,4394.25,0.9910447,0.0000233
E1AK2 C3795,600.915934,4394.25,0.9908126,0.0000258
E1AK2 C3800,600.2998368,4399,0.9931614,0.0000081
E1AK2 C3805,595.3270413,4399,0.9929692,0.0000102
E1AK2 C3810,590.3548493,4399,0.9927675,0.0000125
E1AK2 C3815,585.3833261,4399,0.9925558,0.0000148
E1AK2 C3820,580.4126554,4399,0.992333,0.0000172
E1AK2 C3825,575.4429203,4399,0.9920983,0.0000197
E1AK2 C3830,570.4740156,4399,0.991852,0.0000223
E1AK2 C3835,565.5061609,4399,0.9915927,0.000025
E1AK2 C3840,560.5393052,4399,0.9913202,0.0000278
E1AK2 C3845,555.5735395,4399,0.9910338,0.0000308
E1AK2 C3850,574.0972277,4422.75,0.9920813,0.0000485
E1AK2 C3855,569.1264715,4422.75,0.9918301,0.0000513
E1AK2 C3860,564.1565642,4422.75,0.9915677,0.0000543
E1AK2 C3865,559.1874514,4422.75,0.9912941,0.0000574
E1AK2 C3870,554.2192378,4422.75,0.9910085,0.0000606
E1AK2 C3875,549.2518706,4422.75,0.9907107,0.0000639
E1AK2 C3880,544.2854628,4422.75,0.9904,0.0000674
E1AK2 C3885,539.3202316,4422.75,0.9900749,0.000071
E1AK2 C3890,534.3556938,4422.75,0.9897374,0.0000748
E1AK2 C3895,529.3925798,4422.75,0.9893835,0.0000787
E1AK2 C3900,524.4299668,4422.75,0.9890174,0.0000827
E1AK2 C3905,519.4688368,4422.75,0.9886338,0.000087
E1AK2 C3910,514.5090994,4422.75,0.9882326,0.0000914
E1AK2 C3915,509.5505437,4422.75,0.9878146,0.000096
E1AK2 C3920,504.5933247,4422.75,0.9873783,0.0001008
E1AK2 C3925,499.6376915,4422.75,0.986922,0.0001058
E1AK2 C3930,494.6834785,4422.75,0.9864461,0.000111
E1AK2 C3935,489.731216,4422.75,0.9859471,0.0001164
E1AK2 C3940,484.7800707,4422.75,0.9854289,0.0001221
E1AK2 C3945,479.8313699,4422.75,0.9848838,0.000128
E1AK2 C3950,474.8845037,4422.75,0.9843144,0.0001342
E1AK2 C3955,469.9396738,4422.75,0.9837188,0.0001407
E1AK2 C3960,464.9968731,4422.75,0.9830965,0.0001474
E1AK2 C3965,460.0562564,4422.75,0.9824459,0.0001545
E1AK2 C3970,455.1178171,4422.75,0.9817662,0.0001618
E1AK2 C3975,450.182388,4422.75,0.9810519,0.0001696
E1AK2 C3980,445.2496152,4422.75,0.9803041,0.0001776
E1AK2 C3985,440.3193947,4422.75,0.9795222,0.0001866
E1AK2 C3990,435.3923999,4422.75,0.9786975,0.0001974
E1AK2 C3995,430.4680223,4422.75,0.9778308,0.0002087
E1AK2 C4000,425.5469242,4422.75,0.976917,0.0002206
E1AK2 C4005,420.6292061,4422.75,0.9759538,0.000233
E1AK2 C4010,415.7150225,4422.75,0.974939,0.0002461
E1AK2 C4015,410.8044492,4422.75,0.9738706,0.0002598
E1AK2 C4020,405.8975488,4422.75,0.9727465,0.0002742
E1AK2 C4025,400.9951556,4422.75,0.97156,0.0002892
E1AK2 C4030,396.0966587,4422.75,0.9703131,0.0003051
E1AK2 C4035,391.2027424,4422.75,0.9689998,0.0003216
E1AK2 C4040,386.3136746,4422.75,0.9676164,0.000339
E1AK2 C4045,381.4293082,4422.75,0.9661621,0.0003573
E1AK2 C4050,376.5503303,4422.75,0.9646304,0.0003764
E1AK2 C4055,371.6767289,4422.75,0.9630193,0.0003964
E1AK2 C4060,366.8088635,4422.75,0.9613243,0.0004174
E1AK2 C4065,361.9471821,4422.75,0.9595403,0.0004394
E1AK2 C4070,357.0921589,4422.75,0.957662,0.0004624
E1AK2 C4075,352.2437585,4422.75,0.9556871,0.0004865
E1AK2 C4080,347.4025439,4422.75,0.9536096,0.0005117
E1AK2 C4085,342.5691322,4422.75,0.9514228,0.0005381
E1AK2 C4090,337.7432491,4422.75,0.9491262,0.0005656
E1AK2 C4095,331.9800682,4421.75,0.9462304,0.000595
E1AK2 C4100,327.1731948,4421.75,0.9436691,0.0006251
E1AK2 C4105,323.3172965,4422.75,0.941507,0.0006558
E1AK2 C4110,318.526979,4422.75,0.9387095,0.000686
E1AK2 C4115,313.747117,4422.75,0.9357948,0.0007087
E1AK2 C4120,308.9781806,4422.75,0.9327707,0.0007318
E1AK2 C4125,304.2199284,4422.75,0.929639,0.0007554
E1AK2 C4130,299.4731967,4422.75,0.9263942,0.0007795
E1AK2 C4135,294.7383411,4422.75,0.9230342,0.0008041
E1AK2 C4140,290.0159556,4422.75,0.9195552,0.000829
E1AK2 C4145,285.3060963,4422.75,0.9159577,0.0008544
E1AK2 C4150,280.6093409,4422.75,0.9122383,0.00088
E1AK2 C4155,275.9262638,4422.75,0.9083942,0.000906
E1AK2 C4160,271.2563424,4422.75,0.9044297,0.0009323
E1AK2 C4165,266.6017918,4422.75,0.9003312,0.0009588
E1AK2 C4170,261.9623581,4422.75,0.8961017,0.0009856
E1AK2 C4175,257.3357766,4422.75,0.8917575,0.0010125
E1AK2 C4180,252.7278109,4422.75,0.8872623,0.0010396
E1AK2 C4185,248.1358943,4422.75,0.8826347,0.0010668
E1AK2 C4190,243.5608124,4422.75,0.8778713,0.0010941
E1AK2 C4195,239.003381,4422.75,0.8729689,0.0011215
E1AK2 C4200,234.4632917,4422.75,0.8679314,0.0011488
E1AK2 C4205,229.9417341,4422.75,0.8627535,0.0011761
E1AK2 C4210,225.4395813,4422.75,0.8574322,0.0012034
E1AK2 C4215,220.9542023,4422.75,0.8519852,0.0012306
E1AK2 C4220,216.4909952,4422.75,0.8463828,0.0012577
E1AK2 C4225,212.0484661,4422.75,0.8406364,0.0012846
E1AK2 C4230,207.626919,4422.75,0.8347468,0.0013113
E1AK2 C4235,203.2274152,4422.75,0.8287106,0.0013378
E1AK2 C4240,198.8514009,4422.75,0.8225226,0.0013641
E1AK2 C4245,194.4982163,4422.75,0.8161891,0.0013901
E1AK2 C4250,190.168866,4422.75,0.8097077,0.0014159
E1AK2 C4255,185.8642106,4422.75,0.8030766,0.0014413
E1AK2 C4260,181.5857687,4422.75,0.7962912,0.0014663
E1AK2 C4265,177.3330935,4422.75,0.7893568,0.001491
E1AK2 C4270,173.1058681,4422.75,0.7822777,0.0015154
E1AK2 C4275,168.907365,4422.75,0.7750413,0.0015393
E1AK2 C4280,164.7396654,4422.75,0.7676416,0.0015628
E1AK2 C4285,160.6009548,4422.75,0.7600903,0.0015858
E1AK2 C4290,156.4919426,4422.75,0.7523875,0.0016083
E1AK2 C4295,152.4143893,4422.75,0.7445296,0.001629
E1AK2 C4300,148.3692529,4422.75,0.7365387,0.0016421
E1AK2 C4305,144.3567269,4422.75,0.7284302,0.0016554
E1AK2 C4310,140.3777413,4422.75,0.7202027,0.001669
E1AK2 C4315,136.4332019,4422.75,0.7118546,0.0016831
E1AK2 C4320,132.5240452,4422.75,0.7033842,0.0016976
E1AK2 C4325,128.6502678,4422.75,0.6947927,0.0017127
E1AK2 C4330,124.8138578,4422.75,0.6860743,0.0017284
E1AK2 C4335,121.0172051,4422.75,0.6772227,0.0017448
E1AK2 C4340,117.2560221,4422.75,0.6682507,0.001762
E1AK2 C4345,113.5337391,4422.75,0.6591477,0.00178
E1AK2 C4350,109.8512269,4422.75,0.6499106,0.0017989
